Assessing soil and groundwater impacts of chemical mixture releases from hazardous materials transportation incidents	Lewis, Richard G., Ph.D. He, Ziqi. HSA Engineers & Scientists. United States. Pipeline and Hazardous Materials Safety Administration. Hazardous Materials Cooperative Research Program. National Research Council (U.S.). Transportation Research Board.	Transportation Research Board,	2010		google	NWU	https://catalog.hathitrust.org/Record/9447099	Full View
Employee leasing	KRA Corporation. United States. Unemployment Insurance Service. United States. Employment and Training Administration.	U.S. Dept. of Labor, Employment and Training Administration, Unemployment Insurance Service,	1996	L 37.20:97-1	google	UIUC	https://catalog.hathitrust.org/Record/3149044	Limited View
The consequences of child maltreatment	Latimer, Jeff. National Clearinghouse on Family Violence (Canada) Canada. Health Canada.	Health Canada,	1998	DSS Cat. no. H 72-21/156-1998E	google	UMN	https://catalog.hathitrust.org/Record/101779145	Limited View
Facing America's trash	United States. Congress. Office of Technology Assessment.	Congress of the United States, Office of Technology Assessment : For sale by the Supt. of Docs., U.S. G.P.O.,	1989	Y 3.T22/2:2 Am3/sum	google	UMN	https://catalog.hathitrust.org/Record/2055591	Limited View
Employer perceptions of employee ridesharing	Womack, James P. Lum, Henry, joint author. Bowman, Patricia A. Price, Waterhouse Co. United States. Office of Highway Planning.	Dept. of Transportation, Federal Highway Administration, Office of Highway Planning : for the sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1979	TD 2.26:11-9438	google	MIU	https://catalog.hathitrust.org/Record/1944342	Limited View
Influences of offshore activity	United States. Congress. House. Committee on Merchant Marine and Fisheries. Subcommittee on Panama Canal/Outer Continental Shelf.	U.S. G.P.O.,	1984	Y 4.M 53:98-37, Y 4.M 53:98-27	google	UCR	https://catalog.hathitrust.org/Record/101733448	Full View
Community hospitals: inflation in the pre-medicare period	Davis, Karen, 1942- Foster, Richard W. joint author.	U.S. Social Security Administration, Office of Research and Statistics; [for sale by the Supt. of Docs., U.S. Govt. Print. Off., Washington,	1972	HE 3.49:41	google	MIU	https://catalog.hathitrust.org/Record/1688711	Limited View
Watercraft waste treatment system development and demonstration report	General Electric Company. Re-entry and Environmental Systems Division. White, James C. Shelley, Peter S. Bryce, Arnold J United States. Environmental Protection Agency.	[Environmental Protection Agency, Research and Monitoring]; for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1971	EP 1.16:15020DHG09/71	google	MIU	https://catalog.hathitrust.org/Record/1628513	Limited View
Combined treatment of municipal kraft linerboard, and fiberboard manufacturing wastes	Macon (Ga.) Board of Water Commissioners. United States. Environmental Protection Agency. Armstrong Cork Company. Georgia Kraft Company.	[U.S. Environmental Protection Agency]; for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1971	EP 1.16:11060DPD02/71	google	MIU	https://catalog.hathitrust.org/Record/1626991	Limited View
Study of sulfur recovery from coal refuse	Black, Sivalls and Bryson, inc., Kansas City, Mo. Applied Technology Division. Michaels, H. James. LaRosa, Paul J. United States. Environmental Protection Agency. Water Quality Office.	[U.S. Environmental Protection Agency, Water Quality Office]; for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1971	EP 2.10:14010FYY09/71	google	MIU	https://catalog.hathitrust.org/Record/1626982	Limited View
An investigation of techniques for removal of chromium from electroplating wastes	Battelle Memorial Institute. Columbus Laboratories. Smithson, G. R., 1926- Metal Finishers'' Foundation. United States. Environmental Protection Agency. Industrial Pollution Control Branch.	[Environmental Protection Agency, Water Quality Office]; for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1971	EP 2.10:12010EIE03/71	google	MIU	https://catalog.hathitrust.org/Record/1626978	Full View
Ultrathin membranes for treating metal finishing effluents by reverse osmosis	North Star Research and Development Institute (Minneapolis, Minn.) United States. Environmental Protection Agency.	Environmental Protection Agency, Research and Monitoring; for sale by the Supt. of Docs., U.S. Govt. Print. Off.]	1972	EP 1.16:12010DRH11/71	google	UCBK	https://catalog.hathitrust.org/Record/1626979	Limited View
Demonstration of a full-scale waste treatment system for a cannery	Streebin, Leale E. Hu, Alan C. H. joint author. Reid, George W. (George Willard), 1917-1987, joint author. University of Oklahoma. Research Institute. United States. Environmental Protection Agency. Office of Research and Monitoring.	[U.S. Environmental Protection Agency]; for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1971	EP 1.16:12060DSB09/71	google	MIU	https://catalog.hathitrust.org/Record/1626965	Limited View
Feasibility of treating wastewater by distillation	University of Florida. United States. Environmental Protection Agency.	[Environmental Protection Agency, Research and Monitoring]; for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1971	EP 1.16:17040DNM02/71	google	MIU	https://catalog.hathitrust.org/Record/1626761	Limited View
Santa Barbara oil pollution, 1969	University of California, Santa Barbara United States. Federal Water Quality Administration	For sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1970	I 67.13/4:15080 DZR 11/70	google	MIU	https://catalog.hathitrust.org/Record/1626744	Limited View
Underground coal mining methods to abate water pollution	West Virginia University. Coal Research Bureau. United States. Environmental Protection Agency.	[Environmental Protection Agecny, Water Quality Office]; for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1970	EP 2.10:14010FKK12/70	google	MIU	https://catalog.hathitrust.org/Record/1611631	Limited View
Characteristics of wastes from southwestern cattle feedlots. -	Texas Tech University. Water Resources Center. United States. Environmental Protection Agency.	[U.S. Environmental Protection Agency]; for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1971	EP 1.16:13040DEM01/71	google	MIU	https://catalog.hathitrust.org/Record/1611626	Limited View
Compilation of selected public health laws	United States. United States. Congress. Senate. Committee on Labor and Public Welfare. Subcommittee on Health.	U.S. Govt. Print. Off,	1968	Y 4.L 11/2:H 34/17	google	UMN	https://catalog.hathitrust.org/Record/1577259	Limited View
Recent advances in the psychobiology of the depressive illnesses	Shield, James Asa., ed. Katz, Martin M. ed. Williams, Thomas Arthur, 1936- ed. College of William and Mary. National Institute of Mental Health (U.S.)	U.S. National Institute of Mental Health; for sale by the Supt. of Docs., U.S. Govt. Print. Off., Washington,	1972	HE 20.2402:D44	google	MIU	https://catalog.hathitrust.org/Record/1565059	Limited View
Proceedings and recommendations	National House Staff Conference, 1st, St. Louis, 1971. McCloy, Steven G., ed. Montefiore Hospital and Medical Center. Dept. of Social Medicine. United States. Health Services and Mental Health Administration.	U.S. Health Services and Mental Health Administration,	1971	HE 20.2002:H81	google	PUR	https://catalog.hathitrust.org/Record/1560264	Limited View
Public technology: a tool for solving national problems	Federal Council for Science and Technology (U.S.). Committee on Intergovernmental Science Relations.	For sale by the Supt. of Docs., U.S. Govt. Print. Off.]	1972	Y 3.F31/16:2T22	google	UMN	https://catalog.hathitrust.org/Record/1510242	Limited View
The use of bluegills to detect zinc	Cairns, John, 1923- Sparks, Richard E., joint author. United States. Environmental Protection Agency.	[U.S. Environmental Protection Agency]; for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1971	EP 1.16:18050EDQ12/71	google	MIU	https://catalog.hathitrust.org/Record/1496057	Limited View
Estimates and projections of special target group populations in elementary and secondary public schools	Froomkin, Joseph. Stump, Robert W. Endriss, J. R. United States. President's Commission on School Finance.	J. Froomkin Inc.,	1972	Pr 37.8:Sch6/T17	google	MIU	https://catalog.hathitrust.org/Record/1450807	Limited View
Hired farm workers	United States. Employment Standards Administration Carrera, Anna.		1971	L 36.2:H61	google	UIUC	https://catalog.hathitrust.org/Record/1431914	Limited View
Special catalog of Federal programs assisting minority enterprise	United States. Office of Minority Business Enterprise. United States. Executive Office of the President.	For sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1971	C 1.2:M66/6	google	MIU	https://catalog.hathitrust.org/Record/1313972	Limited View
The American distribution of income	Thurow, Lester C. Lucas, Robert E. B. joint author. United States. Congress. Joint Economic Committee.	U.S. Govt. Print. Off.,	1972	Y 4.Ec7:In2/7	google	MIU	https://catalog.hathitrust.org/Record/1313897	Limited View
Washington from Banneker to Douglass, 1791-1870	Brown, Letitia Woods. Lewis, Elsie M., joint author. National Portrait Gallery (Smithsonian Institution)	Education Dept., National Portrait Gallery,	1971	SI 11.2:W27/791-870	google	PUR	https://catalog.hathitrust.org/Record/1268434	Limited View
How our laws are made	Zinn, Charles J. Fischer, Joseph, 1904-	U.S. Govt. Print. Off.,	1972	92-2:H. doc. 323	google	MIU	https://catalog.hathitrust.org/Record/1156369	Limited View
Patterns of burglary	Scarr, Harry A. Wyatt, Deborah S., joint author. Pinsky, Joan L.	National Institute of Law Enforcement and Criminal Justice; [for sale by the Supt. of Docs., U.S. Govt. Print. Off.],	1972	J 1.36:72-10	google	UIUC	https://catalog.hathitrust.org/Record/1134487	Limited View
The report. -	United States. President's Commission on Financial Structure & Regulation.	For sale by the Supt. of Docs., U.S. Govt. Print. Off.],	1972	Pr 37.8:F49/R29	google	UMN	https://catalog.hathitrust.org/Record/1127409	Limited View
U.S. life lines; imports of essential materials-1966, 1967, 1968, 1969	United States. Office of the Chief of Naval Operations		1972	D 207.2:L62/966-69	google	MIU	https://catalog.hathitrust.org/Record/1121668	Limited View
Educational development in Guinea, Mali, Senegal, and Ivory Coast	Bolibaugh, Jerry B.	U.S. Office of Education, Institute of International Studies; [for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1972	HE 5.21:14163	google	MIU	https://catalog.hathitrust.org/Record/1055715	Limited View
Concentrated mine drainage disposal into sewage treatment systems	Environmental Research & Applications, Inc. United States. Environmental Protection Agency.	[Environmental Protection Agency, Research and Monitoring]	1971	EP 1.16:14010FBZ09/71	google	MIU	https://catalog.hathitrust.org/Record/1036006	Limited View
Scheduling vehicles in a transportation network	MacDonald-Taylor, Roy. Case Institute of Technology. Operations Research Group. United States. National Bureau of Standards.	Case Institute of Technology,]	1967		google	NWU	https://catalog.hathitrust.org/Record/10619830	Full View
Social and economic characteristics of Spanish-origin hired farmworkers in 1973	Smith, Leslie Whitener. United States. Department of Agriculture. Economic Research Service. Economic Development Division.	U.S. Dept. of Agriculture, Economic Research Service, [Economic Development Division],	1976	A 1.107:349	google	UCR	https://catalog.hathitrust.org/Record/101819373	Full View
Prado Basin water conservation feasibility study	United States. Army. Corps of Engineers. Los Angeles District.	Corps of Engineers Planning Division,	2005	D 103.62:P 739	google	UCR	https://catalog.hathitrust.org/Record/101819523	Limited View
